N,P,K,temperature,humidity,ph,rainfall,label
99.34,10.31,52.02,23.52,92.2,6.79,64.01,watermelon
14.49,14.71,38.43,26.3,83.56,7.14,44.66,pomegranate
91.19,94.44,64.68,33.87,79.8,6.55,199.78,banana
31.33,7.13,39.67,31.98,95.85,6.18,141.42,coconut
76.02,9.48,44.0,22.88,79.9,6.86,62.88,watermelon
25.29,73.71,205.84,19.89,74.83,6.55,92.1,grapes
109.54,39.63,51.91,26.29,64.72,6.48,211.6,coffee
84.0,43.38,54.18,34.91,76.05,7.46,169.27,jute
86.72,50.41,41.47,34.84,93.47,7.11,223.67,jute
12.83,126.43,207.05,13.8,83.82,5.62,135.24,apple
30.65,9.47,26.77,27.31,95.41,6.0,152.4,coconut
20.05,11.56,29.29,27.01,91.46,6.72,210.87,coconut
24.59,72.58,195.05,21.89,60.82,6.33,93.02,grapes
102.63,25.71,41.7,16.69,67.52,5.38,153.06,coffee
28.9,54.95,15.86,26.92,36.62,6.49,64.97,lentil
34.33,124.55,203.02,16.39,80.61,6.01,132.45,apple
94.43,11.73,58.56,29.64,88.94,7.12,30.42,muskmelon
18.31,71.75,24.7,21.03,18.6,6.34,95.68,kidneybeans
11.56,125.66,208.9,21.87,82.04,6.1,143.98,apple
23.34,52.52,16.78,34.82,48.29,5.93,48.63,mothbeans
23.09,55.71,25.57,29.11,22.25,6.59,43.72,lentil
16.32,14.72,40.07,23.78,91.26,6.48,46.35,pomegranate
15.39,64.61,19.38,15.93,23.47,6.15,83.07,kidneybeans
16.94,26.42,54.3,25.2,49.46,7.23,103.16,mango
12.14,72.98,17.52,16.71,24.7,6.43,111.35,kidneybeans
137.8,21.91,43.19,17.53,77.89,5.86,146.11,coffee
76.36,16.66,54.69,26.01,83.17,7.13,52.55,watermelon
13.48,18.28,12.19,25.1,88.32,6.36,90.64,orange
104.33,9.18,59.18,31.49,80.93,7.35,69.16,watermelon
115.26,69.9,42.4,16.51,42.95,6.77,111.08,wheat
95.63,38.74,36.94,27.07,87.57,6.18,253.11,rice
69.01,61.22,49.67,36.8,88.0,6.24,101.38,papaya
106.7,93.37,57.97,34.95,70.93,5.58,218.17,banana
14.24,35.96,25.55,31.0,59.91,5.59,67.03,mango
125.3,25.33,48.51,21.27,61.11,5.83,145.38,coffee
69.31,62.76,57.64,29.96,94.7,6.08,174.2,papaya
13.64,74.35,16.63,23.26,45.18,5.82,44.15,lentil
104.61,9.38,47.14,31.57,85.41,7.4,43.0,muskmelon
118.13,50.8,31.13,35.0,56.65,6.98,59.82,cotton
82.87,16.86,46.51,27.6,78.99,6.32,55.09,watermelon
14.07,10.36,47.36,27.04,94.37,6.7,33.61,pomegranate
119.4,39.16,48.63,26.1,88.5,6.92,181.17,rice
30.7,120.62,210.08,20.6,93.9,6.16,132.0,apple
111.61,98.35,43.63,28.95,94.02,5.62,168.95,banana
89.88,10.38,46.93,35.79,92.84,6.76,34.27,muskmelon
86.42,30.27,30.63,27.09,61.79,5.69,198.14,coffee
39.27,19.35,52.99,35.01,49.52,6.61,144.86,mango
19.94,5.44,43.45,30.0,88.38,6.91,53.76,pomegranate
29.26,19.12,36.7,27.93,95.88,6.29,156.75,coconut
