N,P,K,temperature,humidity,ph,rainfall,label
102,65,170,23.35843410078278,87.03964301338483,6.062057487918592,180.19761669803765,Rice
92,102,32,24.264967522097603,76.43443876698241,5.845558906631446,79.31502006121079,Rice
14,32,29,19.35424629127754,86.344433726103,7.08127898851759,78.17738120371394,Maize
106,47,100,33.73789920380908,39.825386642520954,7.759260216046166,55.09359594066453,Wheat
71,90,129,21.281415433320777,41.33245377718576,9.761283049248304,72.9644249161736,Wheat
20,21,14,18.119178113387655,71.72368737887942,8.161671591044687,29.046920321194815,Wheat
102,102,192,23.841640870756887,16.894918348551805,7.619990607634709,207.83861246501644,Rice
121,102,46,11.983765639883565,76.46077116111712,5.644591579317392,131.90881746982282,Sugarcane
74,69,44,34.78179152161829,85.82660917223933,3.720824809589286,176.47229583856628,Rice
87,78,81,9.238354764258187,49.779519371971716,5.344000824670028,197.4653050951885,Sugarcane
116,89,109,31.228080140916667,79.75011573858177,8.418066562941554,290.8424536814551,Cotton
99,9,122,15.16368553106956,29.16415558537985,4.813740421144331,39.198390467585924,Rice
103,6,46,16.88766080826158,41.81771575032984,8.058004439514333,136.5064916885892,Rice
130,26,51,30.91999355267339,97.69793533856792,7.210590992444262,88.63339490041967,Rice
52,116,169,43.354432609245166,98.72832447410282,4.599883966402976,152.86893063575138,Wheat
1,61,26,35.864568619724764,58.13025304395009,5.174398760267712,276.36744126084506,Wheat
87,70,189,16.659219201374043,94.26692112845426,6.67634306231345,221.6848210185605,Sugarcane
37,78,111,14.925661475431458,58.99801910947244,6.177598112690224,204.4205699173543,Sugarcane
129,102,31,38.94490388531493,39.189102583411184,8.482808624299262,142.99872741079668,Rice
20,116,45,24.25760138766835,37.07326899006475,8.200189712276782,206.9706082976055,Sugarcane
57,129,84,13.56943753841981,93.85863895005036,7.177276822227309,29.21006749546777,Wheat
21,90,166,38.80495753160345,28.978655535059726,8.76255815342672,183.3502224259196,Sugarcane
88,80,164,37.2000138814163,63.874501667895814,7.101085060379575,174.31601737137078,Cotton
48,92,93,43.03994146362129,61.80849833297508,9.672091242606466,116.67003221535657,Wheat
58,42,70,40.4590802976014,77.58557837476167,4.890234234566921,76.28138110552938,Cotton
14,63,16,38.44230378538685,56.985117174873196,8.070444759053778,244.94270984310546,Sugarcane
50,142,172,10.62958904382291,37.534881122687096,5.867642445148595,35.18982645285335,Maize
107,103,77,12.433654858534508,28.71728001842628,5.285383644289241,39.58995816908448,Rice
54,67,80,28.600615161783473,67.40417146045493,4.654479846193363,142.797201350788,Wheat
63,53,94,27.295477770607366,75.81750786232207,7.0360222480738805,90.48593054381479,Cotton
130,36,14,24.737119864235837,63.0079735830502,4.879004369594952,227.65940667900378,Maize
50,139,100,22.60826852442753,77.47670444928639,4.782245449269798,196.69509840716745,Maize
134,25,180,23.806124873278645,26.328367049961585,9.839404192536435,235.19643376204152,Wheat
20,24,24,28.611568107890875,89.82769570662671,8.63118346781287,110.55815354881005,Wheat
72,131,43,8.872262812482827,64.11129507060872,8.288971649628003,226.2864208956525,Maize
17,72,64,17.872665339823257,25.070524534695576,8.581988005649631,260.1789905861468,Rice
131,114,70,26.836134279967144,53.78699000043149,9.701106391799954,116.28989179668852,Rice
88,120,69,33.933120233842885,86.59865193510862,7.168970808020502,114.79300702933823,Cotton
59,124,183,14.860652895359792,91.12107997893582,4.909560815378308,270.65647570715845,Rice
13,83,128,27.831464847802664,36.88046257839386,9.018141700820731,34.05662746213945,Maize
8,120,168,33.66319699922521,75.15548117768583,8.253476668506178,117.65771161489398,Maize
89,96,156,24.27304249540388,22.76873570935966,6.151573198938708,53.22655454358308,Sugarcane
52,18,159,9.742423451717777,17.074881180021926,6.530844790877737,28.265298266568387,Maize
129,129,134,24.434531914604158,62.226190342369094,6.132015350264762,51.611558931110594,Rice
83,62,163,19.11628209349653,73.74672354842039,9.451629825465627,140.21570368547108,Cotton
91,32,61,41.15180634800622,82.39892286182622,5.698602313589083,211.37987406609415,Sugarcane
110,30,82,13.136545821605793,43.356531635622176,9.666299383399505,100.70729872219829,Rice
7,117,198,31.506163251651678,14.759227673755614,9.32573933602528,256.664638049733,Cotton
34,70,33,10.634647868440641,55.29479862044302,7.53533531038831,141.98842947788282,Rice
80,135,19,24.326731235881837,15.558648838514689,7.210859347840477,289.65786658265324,Sugarcane
49,48,16,28.078486155258805,22.083072564487555,5.868571392447814,285.7415228061817,Maize
103,101,105,19.168831609826917,42.19724923097084,3.6173656896681594,235.40277276817463,Sugarcane
131,46,160,24.63663211610938,51.66564464730719,4.316788391921621,279.6884495776038,Maize
1,10,88,14.491672049650521,38.15053111338088,8.327080469437112,216.98483799563735,Sugarcane
133,27,129,19.383509961487658,64.06585333945345,6.5178568101642576,269.4408017745458,Wheat
53,93,107,30.414500106875064,18.94347693599076,4.458964058802996,86.01063554304311,Rice
105,127,28,19.302641943968197,26.59048116753241,5.189349466443974,116.33044170920307,Rice
3,55,153,40.11105912862873,73.78364494474066,9.5661561590208,229.74043736915297,Wheat
53,15,142,30.66856212590644,26.38147115334155,5.849650145985697,138.35539259288484,Maize
43,16,114,24.06498584157226,69.0287347745852,9.309164449402584,253.22822483336333,Rice
13,78,82,10.14874135728555,18.88647199856343,5.449669326678891,264.4468979628778,Wheat
94,12,105,26.18428206512256,49.11266132051033,6.976608603949829,103.6147155978334,Rice
47,45,150,35.414213225953105,29.403991589385328,3.6310533335180666,249.3663599191583,Cotton
14,89,146,18.041404410831994,23.595829413265477,6.840000706390892,63.13174663743126,Maize
39,76,166,36.8757202237771,62.7947095460552,7.576428867908034,113.20694482070509,Cotton
81,59,132,17.562875458570673,93.7583756608818,4.999552635757938,164.34964589708255,Maize
110,141,62,37.46637430068785,18.895250007048134,7.205197927714285,83.21929899351319,Wheat
52,51,80,11.767338288086375,50.32719907228554,7.641873741126307,181.41023697077796,Maize
23,108,154,38.94319306864223,74.83578701478453,7.896070901643242,181.25084040712105,Maize
123,46,202,26.1716884924799,53.85234717564677,8.468981260941462,77.78107563700706,Wheat
40,64,40,19.119508118785117,83.31670258121952,5.492571154748266,241.62698628162258,Maize
14,16,177,18.02594111444718,29.595603569556083,7.133772521164021,195.98666140321959,Rice
44,134,168,23.83396745077662,96.43722337087736,9.782105790493404,108.63274904938478,Sugarcane
64,11,26,43.56692253400685,47.208437200106715,9.248122692257006,84.81702523978225,Wheat
88,84,131,16.46739329162787,43.47251754332438,9.597058739829546,264.75616363763953,Sugarcane
70,135,84,12.391939380989188,89.15371658892133,5.971272950582858,252.78706684602085,Wheat
8,113,193,29.159223871409434,62.5234046331244,8.536339877738635,84.14239581229297,Wheat
87,7,104,25.801277832120945,58.4592801010718,7.467346891266226,30.108934539544393,Cotton
128,31,188,27.042030233003096,76.50200770358653,4.029504531598343,244.10142139531138,Cotton
135,118,100,32.00935253099115,63.89179422068945,8.773474490605219,191.4960309302615,Maize
62,111,165,18.096613631498595,28.127590755684786,7.833448168687133,48.275468407277835,Sugarcane
138,44,177,40.491141839359315,71.97873627952447,4.773071100897708,183.6617887907185,Wheat
80,133,168,23.961387901055705,25.63828295447841,4.010326767548553,146.04244133615953,Maize
135,12,152,13.29219959095767,83.26200534712912,8.856941636149315,235.75735613592835,Rice
32,105,22,34.63199673434126,99.02042642394163,4.004971708743687,78.38831157277457,Wheat
122,128,42,31.180031471101188,46.54211946033833,4.084664738345195,146.3135219400889,Rice
4,111,199,19.78787040644449,52.31558047591248,6.235413042587618,63.682736996308435,Maize
40,105,155,30.428851596384888,18.179364274877013,4.362706101884653,286.67982749975863,Cotton
27,8,113,16.451196081640397,15.376934218676958,9.347485423633405,236.92282907227317,Maize
134,114,127,24.280409705050428,93.16563699890129,6.509817192084715,225.22985129533865,Rice
71,23,148,40.099555771422914,25.223081979638756,7.142566276189258,212.28451487528918,Wheat
11,36,191,13.44699131399408,52.403238665846615,9.43987897265976,138.01453193839401,Sugarcane
32,141,201,22.25703645956368,84.07589126442163,6.893684644085431,277.1494962901852,Maize
47,16,200,37.375756380268086,90.41461772585698,5.762983334126838,40.492804419285605,Wheat
61,143,153,42.53828329933499,58.71238162879318,8.601792677221324,243.74699964825228,Cotton
36,50,108,24.596629547478496,62.623287390438904,6.334241263841349,80.0992693450254,Cotton
98,123,202,26.44358678098849,71.59191644010245,5.538204323854755,110.37698005289991,Cotton
103,20,144,28.711584270075186,96.59047769131641,8.128668535075422,164.7572935716019,Wheat
34,133,148,41.24571532885314,65.84881565294408,8.630276330323476,238.01288957676778,Maize
100,67,85,38.66559632600064,62.14702973540888,8.566983472539338,253.5642648000349,Wheat
130,113,91,14.736919136833222,15.4455753922954,9.757116250423728,182.65268521956276,Wheat
0,123,146,23.999172061078212,21.137389463315916,8.534668472799762,132.3647765705229,Sugarcane
4,25,65,24.947214901235633,63.663608401676484,8.427573990071593,283.61162387651336,Sugarcane
102,17,203,36.26054468537673,94.43580123507732,8.98790562391181,88.8068766320962,Maize
26,8,50,29.780672314669147,88.47544855782816,3.501185249890834,243.7012204675808,Sugarcane
